label,text,len
ham,point right u happy,0.068
ham,come correct good look figure,0.073
ham,case guess campus lodge,0.049
ham,,0.013
ham,come home time will not trust,0.063
ham,night worry shame miss girl night quiz popcorn hair,0.133
spam,sex ur mobile free sexy pic jordan text babe sexy pic ,0.154
ham,c ya,0.013
spam,new ,0.049
ham,say matter mind say matter,0.074
ham,know lunch menu da know,0.048
ham,al moan n e thin go wrong de argument r y bother ,0.138
ham,transaction reference number credit beneficiary account,0.164
ham,time job na tuition,0.04
ham,know call,0.02
ham,da feel yesterday night wait til night dear,0.061
ham,thank understanding try tell sura,0.061
spam,win year supply store ur choice worth enter weekly draw music  ,0.145
ham,car appreciate dad have map read semi argument apart thing go ,0.13
spam,subscriber select receive bonus deliver door word claim  ,0.148
ham,need strong arm,0.037
ham,miss,0.031
ham,real,0.027
ham,be go to,0.041
ham,come ur home half hour,0.049
ham,yo game want soon,0.052
ham,yeah probably sure let u know personally bother ur mite,0.124
ham,text creepy like will think forgot,0.063
ham,good phone shall,0.085
spam,new ,0.05
ham,damn tonight want wait til tomorrow,0.07
ham,k k complete course,0.055
ham,true passable high score apply salary make life easy,0.119
spam,tone ur mob week  tone free tell ur friend tone reply,0.143
ham,know,0.022
ham,teach da come college,0.043
ham,invest anti age product,0.046
spam,winner u specially select receive cash holiday speak live operator claim,0.145
ham,sir receive account time sorry delay,0.075
spam,reply address receive post week completely free accommodation global location,0.159
ham,submit da project rite,0.043
spam,free entry weekly send word enter care,0.122
ham,an lar later,0.031
ham,want send sell fast k easy money,0.076
ham,get thing pub later,0.051
ham,finish meeting,0.027
ham, snatch purse,0.034
ham,sorry make drum n fun x,0.129
ham,opinion     lovable silent character mature stylish simple reply,0.136
ham,get,0.024
ham,ur paper e morn aft,0.033
ham,dear relieved go plan end,0.063
ham,hope have great new semester wish good greatness,0.096
ham,oh yes speak u  u,0.053
ham,want world princess,0.059
ham,decide eat dad want,0.052
ham,shoot doc waiting room,0.045
ham, go dinner soon,0.034
ham,hello site song urgent,0.053
ham,know u mean king credit  night night sweet sleep,0.111
ham,horrible gal stuff come u get,0.06
ham,hi tell sorry hope u ava ring mite b sorted explain ,0.152
ham,later network ,0.055
ham,happy return d day dear sweet heart happy birthday dear,0.084
spam, immediately urgent message wait,0.081
ham,yeah like go like friend flip like half hour,0.087
ham,mum wan shun watch da glass exhibition,0.084
ham,plan,0.026
ham,wait till end march el get oh,0.058
ham,go room bus,0.046
ham, pay,0.043
ham,honey boo miss,0.024
ham,send customer service cum executive ur mail d detail contact,0.097
ham,yo parent cash good news pick,0.07
ham,thank wit sura not pleasure company hope good give ultimatum oh  enjoy,0.179
spam,hungry gay guy feel hungry min stop text min,0.12
ham,  remember friend need,0.054
ham,half hour,0.026
ham,m weird track sound like insect plumbing evil man acid,0.156
ham,sorry ya,0.047
ham,seriously tell exact word right,0.048
spam,u phone chat set meet u cum jane call,0.146
ham,tee lecture cheery bye bye,0.04
ham,sorry cell get problem y not able reply u u,0.081
ham,not collect dough let know place send control number,0.116
ham,,0.005
spam,network operator service free t c visit,0.066
ham,let know contact settle room let know,0.081
ham,wot u u,0.02
ham,,0.013
ham,not phone silent mode,0.037
ham,meet depend wan,0.066
ham,wait start u busy ur report,0.069
ham,oh ho time u use type word,0.055
ham,stalk profile,0.045
ham,green quote tell jerry cartoon person irritate u love u fail express   gud,0.16
ham,yes think thank,0.025
ham,,0.028
ham,wonder take,0.04
ham,night end day morning come special way smile like sunny ray leave worry blue blue bay gud,0.156
ham,dog wait till end day word run time cell,0.138
ham,happy new year u,0.024
ham,hey great deal farm tour pax deposit,0.07
ham,eat jap aft ur wat get rite,0.062
ham,hey babe see come disappear happen,0.086
ham,da certificate real date today not publish shall special treat secret way thank wish,0.174
ham,happy birthday ur dream come true,0.048
ham,u lar e,0.048
ham,tell say eat,0.025
ham,sure drive reach destination soon,0.054
ham,k ,0.038
ham,daily text time,0.046
ham,great hear settle wit,0.064
ham, make feel well worthless garbage novelty item feel bad want,0.133
ham,tot u reach say t shirt,0.036
ham,decide n e way completely break get bout c u love  no credit,0.132
ham,not pick phone right send message,0.051
ham,right appointment right,0.048
ham,designation developer,0.062
spam,enjoy gold club credit new fun help ,0.163
spam,tone reply mono poly original n well tone network operator rate apply,0.155
ham,lar busy wun disturb,0.048
ham,careful text drive,0.039
ham,spirit soon try sure need,0.103
ham,u r close heart u away shatter stay,0.083
ham,love u babe r u sure idiot girlie,0.084
ham,make pic big,0.039
ham,got get colour colour light n e dark actually style hair,0.122
ham,ur sad ur gray m u walk wid little promise bring ur,0.154
ham, treat,0.036
spam,win new harry potter order phoenix book reply harry answer question chance reader,0.14
ham,,0.005
ham,correct work today,0.03
ham,send scream moan bed princess,0.057
ham,wake long ago thing,0.054
ham,oh get u u,0.034
ham,say plus minus leave line paragraph,0.085
ham, number show area reach clock,0.139
ham,yeah jay sort retard,0.035
ham,sorry bathroom sup,0.031
spam,ur balance ur question sing uptown girl answer ur answer good luck,0.125
ham,exam wish great day,0.048
ham,not know come ask question like not mistake,0.094
ham,rush ask jay,0.027
ham,good morning sir,0.028
ham,lar u sleep early ,0.041
ham,oh k den meet day,0.042
ham,oh half hour long canada eh wow work day extra time grin,0.15
ham,wall heart safe getting hurt find care break wall close ,0.162
ham,sweet meet gauge patty interest,0.082
ham,buy today need c,0.045
ham,sorry year shower plan,0.056
ham,week complete,0.041
ham,ax m,0.023
ham,chill sleep pain surgical emergency unfold ,0.112
ham,yeah try scrounge,0.038
ham,crazy ar married like look guy like dun aft think prob ,0.16
ham,,0.032
ham,un like,0.047
ham,stay night sleep bag get tired,0.082
ham,not need test,0.025
ham,home super bowl plan,0.051
spam,sexy st day pic pic not miss saucy pic c,0.154
ham,near wat,0.022
ham,yo s class right,0.03
ham,let ur heart ur compass ur mind ur map ur soul ur guide u loose world send,0.121
ham,sleep da care pa ,0.053
ham,   teach class,0.084
ham,convey regard,0.024
ham,u ne convince possible hurt feel main,0.081
ham,good afternoon go day luck come way think sweetie send love sea smile happy,0.152
ham,start send blackberry torch find buyer month tell dad buy oh,0.131
ham,marry lover gud avoid problem send dis u u gud news d person like tomorrow good day life not break chain break suffer send min u read,0.327
ham,yo dude guess get arrest day,0.049
ham,change steamboat u r u,0.065
ham,dance river,0.029
ham,sorry busy able shop find way want forgive reply free yahoo messenger,0.207
ham,hey pretty late want lesson join reach,0.114
spam,hot live fantasy min po box croydon k,0.101
ham,sit ur welcome come,0.049
ham,know thing wrong start bout good,0.108
ham,alright good night,0.036
ham,try make butt,0.032
ham,hope feel great fill ,0.05
ham,n fun bar town sound,0.08
ham,write dictionary mode screen hand remove ur hand interesting,0.141
spam,pic nick pete dick fact type try gay chat photo min stop text,0.151
spam,new collect,0.153
ham,finally ready,0.023
ham,auntie pick phone,0.04
spam,double double price latest orange mobile late offer,0.159
ham,ya wat ur problem,0.025
spam,tone ur mob week  tone free tell ur friend tone reply,0.143
ham,wid u,0.022
ham,spend day wait ideal path appear forget walk wait ,0.155
ham,arm feel weak get shot time,0.072
ham,reserve ticket eve eve net ticket available want book ticket tackle,0.203
ham,storm wen u lift d u u d real meaning hello d girl yes u girl d f moral d person,0.278
ham, pop ask bout say wen girl come,0.115
ham,e good ur exam later,0.027
ham,hope ur head hurt plough way pile stay chinky tonight come round like,0.139
ham,oh think wi player unsold,0.046
ham,get fast lose weight month den get effect gee later e weight,0.115
ham,wonder get love go net phone recharge friend net think,0.155
ham,papa need drug,0.035
ham,b ya lesson stretch,0.082
ham,oh,0.007
ham,r meet dinner tonight,0.036
ham,s cool gentleman treat dignity respect,0.073
ham,shall start hear,0.024
ham,wait u need feel bad lar,0.049
ham,check get detailed message,0.048
ham,register payee log enter urn confirm beware fraud share disclose urn,0.155
ham,decide people care stuff vote care stuff loser,0.093
ham,enjoy ur tuition gee e option sound beta yan den u,0.099
ham,register payee log enter urn confirm beware fraud share disclose urn,0.155
ham,cool fun practice make baby,0.048
ham,actually get ready leave house,0.042
ham,k k special today,0.024
spam,urgent important information user today lucky day find log fantastic surprise,0.163
ham,get to,0.03
ham,get buck jay,0.044
ham,hungry,0.024
ham,speak customer machan,0.034
ham,beneath pale moon light think u dream come true sweet dream,0.144
ham,wen ur lovable angry wid u seriously coz angry d childish n true way show deep affection care n nice day da,0.179
spam,dear invite final attempt contact u chat row yr,0.143
ham,wat ur opinion character,0.052
ham,jay snicker tell x totally chord speak,0.082
ham,hour hair cut,0.039
ham,wonder cos dun see silver car see black,0.08
ham, pic send,0.035
ham,feel word well silence gud,0.082
ham, currently,0.041
ham,work week,0.027
spam,congratulation ur award gift voucher free entry weekly draw music,0.15
ham,great m get hungry,0.032
ham,yes see message,0.033
ham,mu like second,0.041
ham,,0.005
ham,thing r good get march revision   bit ,0.126
ham,tell little track idea smoke determine entire month,0.153
spam,sale arsenal dartboard good condition double treble,0.071
ham,look building coat want sick hurry home wear coat gym,0.141
ham,painful personal thought try everybody happy time ,0.124
ham,thank lovely wished rock,0.038
ham,intrepid duo great time soon,0.063
ham,ask sen come search job,0.047
ham,dad go,0.022
ham,hope true cos feel guilty,0.115
ham,wat late early dinner  ,0.071
ham,arm fine,0.034
ham,fact leave think go school tue d,0.072
ham,cool breeze bright sun fresh flower twitter bird wait wish u nice,0.134
ham,restaurant,0.026
ham,u,0.038
spam,free week entry chance win cash pod,0.14
ham,duck chinchilla,0.025
ham,marriage function,0.027
ham,look like u b get m leave bout u r desperate company head early meet rummer,0.159
ham,don t fly monkey wot think certainly don t mind friend,0.107
spam,register subscriber ur draw gift voucher enter receipt correct an s chart,0.141
ham,,0.013
ham,come,0.025
ham,ya take ure practical lesson start june,0.065
ham,good need drug,0.033
ham,possible,0.023
ham,decide fast cos sis go home,0.053
spam,summer finally fancy chat flirt sexy single yr area reply summer free join stop,0.159
ham,u sleep go  get wat check n reply mail,0.104
spam,time u cum chat hope c u call,0.153
ham,fight world easy u win lose close u u lose u lose u win u lose,0.149
spam,buy get text cost pound offer tone,0.081
ham, bilo not,0.144
ham, get  speak,0.051
spam,urgent mobile win bonus caller prize attempt reach  ,0.152
ham,good later come find c lucky tell early later finish,0.114
ham,wat make u fall actually prone fall lucky dad home ask come n fetch,0.131
spam,guarantee latest phone player prize word collect ,0.158
ham,account refill successfully account balance transaction id,0.174
ham,will not touch permission,0.042
spam,hi lucy hubby day b hotel u fancy cumin leave lucy x call,0.16
ham,wonder world  ur style ur smile ur personality ur nature ur lovely good morning dear,0.153
ham,small dose tablet fever,0.037
ham,oh u take real valentine shop,0.061
ham,send address right,0.074
ham,go to blake night able little early,0.093
ham,friendship game play word start march end tomorrow yesterday today e,0.141
ham,nice wait right go to pay ticket ya know,0.085
ham,watch w sis dis aft u wan meet dinner,0.078
ham,keep away like,0.033
ham,think far find check map place dorm,0.09
ham,trip tiring start today cos take module concentrate final yr project,0.147
ham,say,0.033
ham,guy compulsory,0.032
ham,,0.005
ham,purity friendship smile read message smile see gud,0.149
ham,sorry later,0.022
ham,add care dude hey money want,0.132
ham,hello lover go new job  happy think wake slave send teasing kiss sea,0.154
ham,tell number,0.031
ham,tell need investigate,0.051
ham,receive,0.018
ham,not believe say thing morning want good morning love beautiful morning library later,0.172
spam,account credit free text activate word credit,0.13
ham,end vomit come,0.076
ham,money money be not thing sha,0.078
ham,weather extra warm cold lot vitamin c,0.112
ham,hey gal u go e drive,0.058
ham,yahoo messenger send message send mobile mode sha  reply,0.158
ham,put ready,0.06
ham,time n smile r crucial thing life time make forget smile smile make forget time gud noon,0.154
spam,  energy high u know ur leadership skill r strong psychic reply w question end reply end,0.154
ham,host base system,0.034
spam,hot live fantasy min po box croydon national rate,0.122
ham,don plan,0.026
ham,ill,0.031
ham,oh god home,0.026
ham,total video converter free type search,0.064
spam,thank vote sing star karaoke mobile free link reply sing,0.121
ham,wen ur lovable angry wid u seriously coz angry d childish n true way show deep affection care n nice day da,0.179
ham,sound like test,0.056
ham,u love not love u u love not want love gud nit,0.148
ham,pete phone jenny college,0.09
ham,sorry check mind pick half station ,0.11
ham,hey sweet wonder moment come want send file will yahoo connection suck remember set page format disc tell know way big file stuff directly help great prey tease kiss,0.458
ham,s champ leave,0.036
ham,,0.028
ham,wonder text,0.033
ham,need come home good,0.051
spam,brand new mobile music service live free music player arrive shortly install phone browse content artist,0.157
ham,shall ask thing not mistake,0.045
ham,check wid sarcasm,0.037
spam,urgent mobile award bonus caller prize attempt contact  national rate,0.158
ham,angry happen dear,0.039
ham,u dun hint e forum cos tell n go tell,0.096
ham,,0.015
ham,employee,0.029
ham,find aunt,0.032
ham,wow love know barely stand wonder day go love think miss,0.152
ham,screaming mean shout,0.029
ham,hey happen de alright,0.036
ham,pick receipt early,0.054
ham,think settle,0.029
ham,oh dang mean o send ,0.047
ham,unfortunately find pick sister airport evening think go try th,0.172
ham,horrible v hungry,0.032
ham,remember day,0.022
spam,win win free auction send row ,0.15
ham,feel  real valentine yo valentine tho u hardly play,0.091
ham,sound good finger make difficult type,0.053
ham,midnight early,0.024
ham,sure try smoke want smoke tell smoke,0.121
ham,k come,0.036
ham,u friendship m   nice sleep sweet,0.212
ham,press conference da,0.025
spam,hello orange month free access game news sport plus free text photo message reply yes term apply,0.156
ham,complete degree use join finance,0.059
ham,good afternoon love job prospect miss  lazy bleak happy fill love,0.155
ham,sha not disturb u ,0.037
ham,lar need buy early cos buy get to park car,0.079
ham,not know oh,0.024
ham,dude snake get old get buff,0.05
ham,say hi ass south preferably,0.075
ham,e u say thank gift,0.041
ham,u,0.008
ham,dear ,0.036
ham,yeah tote u,0.031
ham,find dis cardin look normal cost sale,0.073
ham,good sleep rhythm person establish rhythm body learn use want know,0.127
ham,wat r u,0.014
ham,message hospital phone phone,0.097
ham,single line big meaning ur,0.073
ham,get gas money chance gang want grand nature adventure,0.092
ham,worry use ice piece cloth tablet,0.063
ham,dude see car pop ,0.058
ham,ready excellent sub face,0.046
ham, m finish door,0.026
ham,g see day ago guy want sell g blank,0.143
ham,late ,0.029
ham,m pretty,0.031
ham,today accept day u accept brother sister lover mean enemy,0.156
ham,not image class,0.037
ham,get go buy apartment,0.063
ham,near,0.033
spam,ur cash balance currently pound maximize ur cash send row,0.145
spam,auction brand new auction today auction free join  row,0.149
ham,sis catch e e afternoon watch w c u wan watch today,0.104
ham,sound wah u yan fast,0.058
ham, nosy guess react freak,0.062
ham,remember hurt day satanic imposter pay price destiny go u say pray mind,0.184
ham,girl happy difficult girl happy u need  friend companion lover chef good listener organizer good clean sympathetic athletic warm courageous determined true dependable intelligent  psychologist pest exterminator psychiatrist healer stylist driver ,0.611
ham,princess bet chase,0.061
ham,shall book half,0.062
ham,nig room,0.064
ham,yep house,0.047
ham,cool let know kick day,0.092
ham,sorry later,0.022
ham,wonder uncle let know thing r dollar send know strain plan pay dime give dime expect practical like,0.338
ham,charge transfer charge withdraw like,0.086
ham,not search love let love find s call fall love u not force u fall u know hold u,0.159
ham, let bill miller,0.03
ham,love set soul fire spark flame big flame ,0.105
ham,surely god decide perfect time u meet person  till den  enjoy ur crush,0.148
ham,honeymoon outfit ,0.03
ham,help propose go tomorrow,0.052
spam,private account statement show un redeem point identifier code expire,0.136
ham,blame day ur life good day u happiness bad day u experience essential life blessing good morning,0.152
ham,confirm time collect cheque,0.043
spam,registered subscriber yr draw gift voucher b enter receipt correct an  an,0.145
spam,urgent mobile number award prize guarantee land line claim valid,0.143
ham,daddy good care,0.035
ham,yeah probably get to check,0.047
ham,special,0.025
ham,take sweet time usual let know patty want smoke tell haul ass,0.127
ham,pa ,0.025
ham,hear job go wildlife talk tonight u ,0.143
ham,god pick flower lovingly touch u gift friend,0.128
ham,come hostel,0.024
ham,prob come lunch,0.043
ham,tell u b leave shanghai instead time meet,0.099
ham,freezing home remember kiss morning love think miss,0.152
ham,ready big day tomorrow,0.037
ham,probably mu lot,0.032
ham,,0.003
spam,king pro video club need help club credit redeemable enjoy,0.153
ham,dude u guy,0.028
ham,dey laugh darling,0.055
ham,food da,0.028
ham,k make sense difficult guy go to smoke pick batch gas,0.121
ham,u,0.029
ham,guy flaky friend interested pick worth tonight possible,0.115
ham,friend u stay chat,0.039
ham,babe miss wish sleep bed lonely sleep dream love,0.154
ham,living simple love simple laughing simple win simple simple difficult gud,0.148
spam,u secret admirer look contact u find think ur special,0.132
ham,ah confuse thing t,0.044
spam,free text text credit account,0.071
ham,hi dear know s problem want work problem tell reply,0.156
ham,dear ,0.025
spam,select stay hotel holiday worth claim ,0.146
ham,yes princess want happy,0.041
ham,sound like talent like dinner date week,0.083
ham,go film da  sorry da,0.045
ham,watch movie want shop shop w,0.073
ham,hello little party animal think buzz friend grin remind love send naughty kiss,0.158
ham,yesterday go home,0.047
spam,eerie tone tone title tone title ghost exorcist twilight,0.161
ham,come life bring sun shiny warm heart put constant smile face make feel love care,0.159
ham,go spend evening guy meet town fool bit let,0.165
spam,allow company bill responsible,0.091
ham,great comedy cant stop laugh da,0.037
spam, hope u like company get cam c reply date stop,0.16
ham,alright set text man,0.041
ham,hi keen kind feel mind,0.136
ham,sleep not feel,0.024
ham,u switch,0.035
ham,lead,0.025
ham,post class,0.031
ham,wat wright brother fly,0.036
ham,evening v good somewhat event laden fill worry head throat wreck ,0.132
ham,u laugh loud u talk spontaneously u not care feel u probably dear good friend dear,0.156
ham,,0.03
ham,not file bag work call tell find room,0.118
ham,wan early lei outside wun b home early mind,0.082
spam,ur chance win cash action ,0.122
ham,wat walk home late reply see like din buy r,0.147
ham,wish family merry mas happy new year advance,0.075
ham,na,0.022
ham,yes post couple pic snow outside wake,0.09
ham,good partnership go lead,0.061
spam, attempt contact won  ,0.146
ham,yeah class,0.028
ham,send temple na,0.042
ham,come home class right need work shower,0.075
spam,hi ur saucy daytime fun married woman free week chat sort time,0.159
ham,s like,0.027
ham,v ma fan,0.014
ham,cos v late n reach inside eat e gal r laugh,0.129
ham,guess spend night phase dimension,0.073
ham,dad go to get work ask crazy question,0.088
ham,yes say,0.027
ham,hurt n meaningful line compromise love,0.075
ham,,0.011
ham,glad reply,0.023
spam,urgent try contact draw show win prize guarantee land line claim valid ,0.157
spam,monthly password wap  use wap phone,0.073
ham,dub buff,0.025
ham,painful thought happy tough thing earth ,0.081
ham,yeah fine ,0.05
ham,u come idea,0.04
ham,people special sight remain special till sight maintain till life end ,0.156
ham,today day song u dedicate send ur valuable,0.124
ham, wait ah,0.018
ham,y lei,0.006
ham,hi babe u r likely bed sorry tonight u tomorrow  love,0.126
ham,squat new way walk,0.046
ham,want bold torch,0.03
ham,cramp stop go sleep,0.035
spam,number end digit select received award number match claim award,0.172
spam,free sub weekly week free send week stop,0.114
ham,nan boss,0.032
ham,bring tat don forget,0.023
spam,sunshine quiz q win player u know country  tyrone,0.125
ham,know rape dude poker,0.042
ham, girl friend load money thank god,0.099
ham,message r u leave dear school wat r ur plan,0.096
ham,later lei go home,0.074
ham,finish yar say mushy embarrass,0.072
ham,sorry man stash run dry night pick,0.076
ham,right doctor say pa ,0.06
spam,free sorry service order deliver sufficient credit receive service,0.148
ham,,0.005
ham,ask mummy father,0.031
ham,come room come house cos house messy ,0.077
ham,lose kilo today,0.033
ham,taste fish curry,0.025
ham,  traffic move slip worry,0.126
ham,wad,0.071
ham,yes woman man tell like dislike bed,0.075
ham,test early appreciate tomorrow,0.068
ham, keep come queen ache speak miss,0.144
ham,u meet dun wan meet ah b guy rite,0.059
ham,promise get dinner,0.06
ham,get dislike bed,0.049
ham,o turn stereo love mi phone unknown album,0.066
spam,hard live chat min choose girl connect live  cheap chat big live service ,0.145
ham,yeah,0.024
ham,ask u not ur classmate,0.058
ham,sorry early put fire talk actually life,0.107
spam,wow r tour win book club club ,0.138
ham,missionary hook doggy hook stand,0.053
ham,u well sleep dun disturb u u wake,0.073
ham,fight world easy u win lose close u u lose u lose u win u lose,0.149
ham,watch house entertaining get thing stick especially stick,0.144
ham,thought mean  look tomorrow,0.063
ham,hi pete bin recently sum dinero leave bill say u ur rent interested,0.158
ham,bold ,0.039
ham,know shall speak minute,0.067
ham, u didnt end town da pub instead  da mo,0.131
ham,go project,0.024
ham,request set caller press copy friend,0.136
ham,yeah point guess,0.034
ham,project w,0.027
ham, quality be not bad be not complain,0.055
ham,k happen tonight,0.027
spam,hi call choose receive easter prize draw telephone claim prize transfer,0.223
ham,think go come,0.039
ham,tired special,0.036
ham,come tomorrow di,0.023
ham,not pick phone right send message,0.051
ham,k sleep ,0.034
ham,u guy invite,0.034
spam,ur go speak live operator claim cruise cash opt x,0.158
ham, want inside outside bedroom,0.074
ham, calm u cos know r thew end u ring ur j,0.146
ham,love wine dine lady,0.032
spam,date service enter phone fancy find landline ,0.155
ham,m cool ta cause load plan get social service inspection nursery care,0.16
ham,don know account detail ask send reach,0.086
ham,think u wrong number,0.032
ham,feel happy slowly habit finally life follow happy morning happy day,0.166
ham,b late love mum,0.022
ham,got mail,0.026
ham,think ur red green n black save bac train,0.092
ham,miss number,0.037
ham,come lunch sis u,0.046
ham,schedule week town weekend,0.062
ham,rock,0.039
ham,will not need u hair,0.05
ham,miss ya need ya want ya love ya,0.035
ham,sorry free,0.021
ham,u song stick head reason will away til u listen like time,0.107
ham,simple u,0.038
ham,got ur mail look forward lot support contact remember late shall try come till dear,0.205
ham,heart forget soon heart like like one remember ,0.158
ham,joy father joy father ,0.067
spam,hi customer loyalty offer new mobile word start t,0.142
ham,hi textbook edition sell,0.121
spam,auction win win free auction send row ,0.162
ham,k want come,0.026
ham, little difficult simple way enter place,0.068
ham,ha e thing get watch u tonight u mind,0.123
ham,not far new picture,0.061
ham,watch get new job,0.033
ham,good afternoon sexy bun go job search wake thought love wish fine happy know adore,0.156
ham,come want,0.041
ham,song,0.05
ham,u post,0.041
spam,,0.033
spam,buy space chance win arcade game console press arcade wap charge term setting purchase,0.154
ham,wonder world  ur style ur smile ur personality ur nature ur lovely good morning dear,0.153
spam,loan purpose homeowner tenant welcome previously refuse help free text help,0.162
spam,big brother alert computer select u cash voucher  po box landline cost mobile vary,0.154
ham,oh c u later,0.022
ham,uncle wish guy great semester,0.053
ham,dear free message recharge hi hi hi,0.062
ham,not search love let love find s call fall love u not force u fall u know hold u,0.159
ham,dun believe u tell,0.034
ham,know god create gap finger come fill gap hold hand love,0.151
ham,sun,0.026
ham,u d amt,0.027
ham,takin shower yeah leave,0.052
ham,work eye philosophy text u later bit free chat,0.1
ham,u haven t lose ill b t intend hurt u know u feel s u,0.164
spam,win winner win exciting prize soon eye ur mobile visit,0.132
ham,bad girl remember,0.039
ham,give morning,0.032
ham,hope alright babe worry feel bit learn job fake wait come love,0.158
ham,hey tell blake address want meet get lose answer phone,0.12
ham,opinion,0.042
ham,week leave know time ,0.046
ham,hit,0.044
ham,excellent spend year air force  stable honest like travel,0.123
ham,watch movie,0.024
ham,school,0.029
ham,class text,0.034
ham,bus leave,0.029
ham,god good sleep dear pray,0.047
spam,number end select receive match quote claim code standard rate,0.155
ham,nice day today love dearly,0.047
ham,bit dun die  well,0.115
ham,ask roommate,0.037
ham,s house beer,0.064
ham,wan meet n combine part da rest da project go,0.083
ham,ticket tue th march mate get sit ill pay treat want ,0.124
ham,yes chat,0.024
ham,hi jess dont know work u home eve ,0.089
ham,aft meeting supervisor get work u work,0.067
ham,go write exam week,0.044
ham,watch,0.033
ham,dirty fellow,0.028
ham,wat tell ,0.037
ham,probably tomorrow later tonight go,0.076
ham,die man feel sad want know probably go late night,0.15
ham,think lift,0.045
ham,u dun wan y u dun like ah wat u eat,0.084
ham,send ur d soon,0.024
ham,wat make people dear de happiness u feel u meet de pain u feel u miss,0.119
ham,dude   hope not hear people call receive package like know fantastic year good reading plus bam aid work,0.332
ham,hey gorgeous man work mobile number good babe squishy,0.08
ham,later,0.024
spam,pic straight phone get wet wanting text cost,0.151
ham,way stay oh,0.034
ham,hello take get job start,0.065
ham,time ur flight,0.027
ham,come,0.024
ham,prominent bite mark right cheek,0.053
ham,,0.028
ham,wet right,0.022
ham,husband,0.023
spam,hack chat backdoor entry chat room fraction cost reply subscribe box,0.161
ham,norm tomorrow finish cos st test need sort library stuff point get letter today access til end march well,0.191
ham,yeah get list u feel anti social,0.075
ham,office na,0.023
ham,,0.029
ham,super replacement,0.037
ham,da good good unsold,0.04
ham,hi u want join st later  meet u class,0.093
ham, decide will let watch kiss damn,0.107
spam,free free x net free ,0.158
ham,not want hear philosophy happen,0.052
ham,get job thing life year,0.071
ham,not da matric card leu,0.054
ham,da aft toa get,0.051
spam,time try contact u win pound prize claim easy min national rate,0.154
ham,payment not sorry want way,0.098
ham,play day year know good team like,0.089
ham,girl wait reception ah,0.05
ham,slowly god love need clean heart special people u c miracle tomorrow,0.163
ham,hate turn fun shopping trip annoying day look house,0.135
ham,sir wait,0.032
ham, want come,0.041
ham,work reach consensus meeting,0.058
ham,wait u entertain ,0.05
ham,thing want hurt think laugh delete tag go far know fact feel like hurt show know messy bad problem time clean choose picture sleep want mind thing bed throw laundry friend house underwear strew bed pillow floor good make bed,0.79
ham,let know kick,0.034
ham,say,0.035
ham,number available appointment ask connect,0.1
ham,buy meet later,0.046
ham, fair know weakness grin push knee expose belly pull head forget know wicked smile,0.183
ham,today system sh deep,0.071
ham,want know,0.03
ham,text,0.034
ham,not know support ass think play,0.075
ham,oh not know mean yep baby,0.055
spam,win guarantee cash prize claim yr prize customer service representative,0.115
spam,like pic hot nearly ban,0.084
spam,bonus special pound genuine voucher win answer easy question play send,0.155
ham,watch get new job,0.033
ham,pen thing joke will not master,0.097
ham,party,0.033
spam,u secret admirer look contact u find think ur special,0.132
ham,see miss dear brother day,0.064
ham,finish soon,0.023
ham,sorry help,0.032
ham,come slave  go shell unconsciously avoid make unhappy,0.128
ham,love ass enjoy doggy style ,0.045
ham,think ask gym excuse lazy people jog,0.062
spam,dear invite final attempt contact u chat row,0.155
spam,urgent landline complimentary holiday cash await collection box,0.152
ham, way home long dry spell season,0.085
ham,get to collect da car leu,0.032
ham, come home go sleep good time work lark,0.089
ham,probably early station think,0.063
spam,listen extreme dirty live chat go office right total privacy know sic listening min,0.163
ham,good morning sir,0.028
spam,hey u get video pic reply wild ill send u pic hurry m work,0.156
ham,head leave,0.041
ham,tot u outside cos u come shop course nice wat go lim look player,0.11
ham,sound good want come,0.053
ham,wat u like ur birthday,0.031
ham,love work home,0.027
ham,miss parachute double coin u know,0.079
ham,sorry later,0.022
ham,sister get place soft,0.04
spam,free entry weekly chance win pod entry rate apply detail,0.143
ham,wah  use e unlimited ,0.059
ham,people mu table lambda,0.054
ham,stop old man build snow angel snowball fight,0.084
ham,babe u,0.015
ham,hello beautiful r u ad row walk pub want night u miss u,0.106
ham,u go aft,0.03
ham,al post holiday post get duffer,0.108
ham,grr take forever prescription pharmacy like minute away ugh,0.092
ham,real tho suck cook electricity hungry,0.087
ham,want,0.016
spam,new chat horny guy ur area free receive search   stop,0.158
ham,time month mid time,0.051
ham, text far go,0.05
ham,leave n eat u,0.063
ham,s series good,0.034
ham,yar want scold u yest late get se u ask ask w u n u act real,0.16
ham,not know bring food,0.029
ham,current food ,0.041
ham, dun da book home,0.068
ham,hello go village pub come accordingly ,0.091
ham,,0.002
ham,don like time oh hypertension oh,0.066
ham,not monkey wot think certainly mind friend sleep wud,0.135
ham,snow tonite,0.03
spam,tell u claim prize u enter ur mobile personal detail prompt careful,0.144
spam,free week entry chance win cash ,0.141
ham,carry disturb,0.035
ham,pa tell go,0.035
ham,finish,0.025
ham,r u scratch,0.023
ham,hope have great day,0.032
ham,idea know anyplace,0.076
ham,usually stop weed,0.045
ham,fact clean show know upset priority constantly want,0.106
ham,excellent ready moan scream ecstasy,0.055
spam,people dog area join like minded guy arrange evening ,0.159
ham,dude imp point think actually fly room try reflex,0.124
spam, costa sol holiday await collection   cost,0.16
